event_date,event_time,event_name,event_url,event_img_thumbnail_link,performer_url,special_guest_names,event_price,door_price,event_status,ticket_url,venue_name,venue_url,event_age
"Thursday, March 19, 2020",7:00 pm,THE BOMBPOPS,https://first-avenue.com/event/2020/03/thebombpops,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Bombpops-admat-031920-548x600web.jpg?itok=b6KELSaF,https://first-avenue.com/event/2020/03/thebombpops,"with TIGHTWIRE, BILLY LIAR and VIAL",$12.00,$15.00,Buy Tickets,https://www.etix.com/ticket/p/2262299/the-bombpopswith-tightwire-and-billy-liar-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Thursday, March 19, 2020",7:30 pm,NORA JANE STRUTHERS,https://first-avenue.com/event/2020/03/norajanestruthers,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/NoraJaneStruthers-031920-600x387web.jpg?itok=Fz8YVy99,https://first-avenue.com/event/2020/03/norajanestruthers,with MINNESOTA BLUEGRASS BAND,,$12.00,Buy Tickets,https://www.etix.com/ticket/p/6891991/nora-jane-struthers-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Friday, March 20, 2020",6:30 pm,OLIVIA O’BRIEN — It Was A Sad F**king Tour,https://first-avenue.com/event/2020/03/oliviaobrien,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/OliviaOBrien-032020-387x600web.jpg?itok=YXZ2btAy,https://first-avenue.com/event/2020/03/oliviaobrien,with HEY VIOLET,$22.00,$25.00,Sold Out,,Fine Line,https://first-avenue.com/venue/fineline,ALL AGES
"Friday, March 20, 2020",8:00 pm,SHING02 & THE CHEE-HOOS: A Tribute To Nujabes,https://first-avenue.com/event/2020/03/shing02,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Shing02-Press-600crop.jpg?itok=czegYbXz,https://first-avenue.com/event/2020/03/shing02,,$16.00,$18.00,Buy Tickets,https://www.etix.com/ticket/p/4961005/shing02-the-cheehoosa-tribute-to-nujabes-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Friday, March 20, 2020",8:00 pm,PALEHOUND,https://first-avenue.com/event/2020/03/palehound,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Palehound-032020-388x600web.jpg?itok=nQriQKb6,https://first-avenue.com/event/2020/03/palehound,with ADULT MOM,$13.00,$15.00,Buy Tickets,https://www.etix.com/ticket/p/6097579/palehoundwith-adult-mom-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Friday, March 20, 2020",9:30 pm,HEY MA! A Throwback 2000s Party ft. DJ ADVANCE and friends,https://first-avenue.com/event/2020/03/heyma,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/HeyMa-032020-387x600web.jpg?itok=E4IgIWhY,https://first-avenue.com/event/2020/03/heyma,with RAY MILLS and DJ MCSHELLEN,$10.00,$15.00,Buy Tickets,https://www.etix.com/ticket/p/8874746/hey-maa-throwback-2000s-party-featuring-dj-advance-and-friends-minneapolis-first-avenue?cobrand=first-avenue,Mainroom,https://first-avenue.com/venue/mainroom,18+
"Saturday, March 21, 2020",12:00 pm,MINNESOTA UNITED FC v MONTREAL IMPACT,https://first-avenue.com/event/2020/03/mnunited-vs-impact,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Minnesota_United_FC_600web.jpg?itok=LOpww1N7,https://first-avenue.com/event/2020/03/mnunited-vs-impact,,,,Buy Tickets,,Turf Club,https://first-avenue.com/venue/turf-club,ALL AGES
"Saturday, March 21, 2020",6:30 pm,EARLY EYES,https://first-avenue.com/event/2020/03/earlyeyes,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/EarlyEyes-032120-387x600web.jpg?itok=PABULQWi,https://first-avenue.com/event/2020/03/earlyeyes,with KEEP FOR CHEAP and LAPDOGS,$15.00,$18.00,Buy Tickets,https://www.etix.com/ticket/p/6049500/early-eyeswith-keep-for-cheap-and-lapdogs-stpaul-amsterdam-bar-hall?cobrand=first-avenue,Amsterdam Bar & Hall,https://first-avenue.com/venue/amsterdam,ALL AGES
"Saturday, March 21, 2020",7:00 pm,ZOSO — The Ultimate LED ZEPPELIN Experience,https://first-avenue.com/event/2020/03/zoso,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Zoso-032119-388x600web.jpg?itok=tYkBy1Oi,https://first-avenue.com/event/2020/03/zoso,with LITTLE MAN,$20.00,$25.00,Buy Tickets,https://www.etix.com/ticket/p/8951510/zoso-the-ultimate-led-zeppelin-experience-minneapolis-fine-line?cobrand=first-avenue,Fine Line,https://first-avenue.com/venue/fineline,18+
"Saturday, March 21, 2020",7:00 pm,WINE & CRIME PODCAST,https://first-avenue.com/event/2020/03/wineandcrime,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Wine-And-Crime-104-600logo.jpg?itok=x8vp56Ac,https://first-avenue.com/event/2020/03/wineandcrime,,,,Buy Tickets,https://www.etix.com/ticket/p/7983510/wine-crime-podcast-minneapolis-the-fitzgerald-theater?cobrand=first-avenue,The Fitzgerald Theater,https://first-avenue.com/venue/fitzgerald-theater,ALL AGES
